Num.;Site;Lieu-dit;Structure;Type;Néo;BA-BM;BF 1;BF 2;BF 3 / Ha anc.;Fer 1;Diamètre (m);Taille non-concentrique;Orientation de l’entrée (deg);Commentaire;Coordonnées (Lamb93);Zone privilegié;Bibliographie
388;Villeneuve-la-Guyard;Les Falaises de Prépoux;36 / H;Enclos circulaire;;;;*;;;12;;;;705443, 6806076;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
393;Villeneuve-la-Guyard;Les Falaises de Prépoux;78 / J;Enclos circulaire;;;;*;;;12;;256.4;;705473, 6806076;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
399;Villeneuve-la-Guyard;Les Falaises de Prépoux;118 / Y;Enclos circulaire;;;;;;;11.8;;5.3;;705535, 6806063;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
381;Villeneuve-la-Guyard;Les Falaises de Prépoux;14 / C;Enclos circulaire;;;;;;;11.5;;10.6;;705331, 6806075;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
380;Villeneuve-la-Guyard;Les Falaises de Prépoux;13 / B;Enclos circulaire;;;;;;*;11.3;;29.6;;705325, 6806058;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
397;Villeneuve-la-Guyard;Les Falaises de Prépoux;82 bis / Q;Enclos circulaire;;;;;;;11;;105.4;;705524, 6806138;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
386;Villeneuve-la-Guyard;Les Falaises de Prépoux;29 / F;Enclos circulaire;;;;;;;10;;;;705423, 6806055;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
390;Villeneuve-la-Guyard;Les Falaises de Prépoux;35 / L;Enclos circulaire;;;;;;;9.8;;;;705447, 6806096;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
395;Villeneuve-la-Guyard;Les Falaises de Prépoux;81 / P;Enclos circulaire;;;;*;;;9.8;;177.5;;705491, 6806117;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
404;Villeneuve-la-Guyard;Les Falaises de Prépoux;251 / AA;Enclos circulaire;;;;;;;8.3;;262.6;;705571, 6806044;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
407;Villeneuve-la-Guyard;Les Falaises de Prépoux;E 1;Enclos circulaire;;;*;;;;7;;;;705684, 6806108;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
402;Villeneuve-la-Guyard;Les Falaises de Prépoux;174 / AC';Enclos circulaire;;;;;;;5.9;;175.5;;705567, 6806097;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
392;Villeneuve-la-Guyard;Les Falaises de Prépoux;80 / K;Enclos circulaire;;;;;;;5.7;;181.6;;705461, 6806054;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
394;Villeneuve-la-Guyard;Les Falaises de Prépoux;79 / I;Enclos circulaire;;;;;;;4.3;;172.6;;705477, 6806063;;"Mordant et al. 1979; Prestreau 1992; Muller 1996; Baray 2009"
415;Villeneuve-sur-Yonne;Plaine des Egriselles;E 5;Enclos circulaire;;;;;;;14.1;;;;721244, 6774009;;"Thêvenot 1985, 208; Roscio 2011"
413;Villeneuve-sur-Yonne;Plaine des Egriselles;E 8;Enclos circulaire;;;;;;;12.7;;111.7;;721207, 6774018;;"Thêvenot 1985, 208; Roscio 2011"
409;Villeneuve-sur-Yonne;Plaine des Egriselles;E 7;Enclos circulaire;;;;;;;10.2;;;;721186, 6773984;;"Thêvenot 1985, 208; Roscio 2011"
410;Villeneuve-sur-Yonne;Plaine des Egriselles;E 10;Enclos circulaire;;;;;;;10;;56.8;;721194, 6774024;;"Thêvenot 1985, 208; Roscio 2011"
411;Villeneuve-sur-Yonne;Plaine des Egriselles;E 18;Enclos circulaire;;;;;;;9;;;;721200, 6774011;;"Thêvenot 1985, 208; Roscio 2011"
414;Villeneuve-sur-Yonne;Plaine des Egriselles;E 6;Enclos circulaire;;;;;;;8.9;;;;721210, 6774003;;"Thêvenot 1985, 208; Roscio 2011"
412;Villeneuve-sur-Yonne;Plaine des Egriselles;E 4;Enclos circulaire;;;;;;;;;71.7;;721204, 6773965;;"Thêvenot 1985, 208; Roscio 2011"
416;Villeperrot;Le Haut des Longues;M;Enclos circulaire;;;;;;;16.1;;;;717015, 6795095;;Baray 2009, 68
417;Ville-Saint-Jacques;Le Fond des Vallées / Le Bois d'Echalas;St. 2030;Enclos circulaire;;;*;;;;19.7;;;;693015, 6806366;;Issenmann 2009
418;Vimpelles;La Ferme de Chanteclaire;E 1;Enclos circulaire;;;;;;;17.7;;352.6;;711279, 6815323;;Gouge, Mordant et al. 1994
419;Vimpelles;La Ferme de Chanteclaire;E 3;Enclos circulaire;;;;;;;16.8;;159.1;;711319, 6815362;;Gouge, Mordant et al. 1994
420;Vimpelles;La Ferme de Chanteclaire;E 4;Enclos circulaire;;;;;;;12.2;;153.2;;711324, 6815376;;Gouge, Mordant et al. 1994
423;Vinneuf;Les Presles;E 3;Enclos circulaire;;;*;;;;18;;;;708355, 6805593;;Carré & Mordant 1988
424;Vinneuf;Les Presles;E 4;Enclos circulaire;;;;;;;17;;;;708410, 6805564;;Carré & Mordant 1988
421;Vinneuf;Les Presles;E 2;Enclos circulaire;;;*;;;;10;;;;708041, 6806079;;Carré & Mordant 1988
422;Vinneuf;Les Presles;E 1;Enclos circulaire;;;*;;;;7;;;;708044, 6806114;;Carré & Mordant 1988
425;Vinneuf;Les Presles;E 5;Enclos circulaire;;;*;;;;;;;;708658, 6805450;;Carré & Mordant 1988
